NLSitNummer,DatumFileBegin,DatumFileEind,TijdFileBegin,TijdFileEind,FileZwaarte,GemLengte,FileDuur,HectometerKop,HectometerStaart,RouteLet,RouteNum,RouteOms,hectometreringsrichting,KopWegvakVan,KopWegvakNaar,TrajVan,TrajNaar,OorzaakGronddetail,OorzaakVerloop,OorzaakCodeVerloop,OorzaakCode,Oorzaak_1,Oorzaak_2,Oorzaak_3,Oorzaak_4
2788361,10/6/2020,10/6/2020,17:21:00,17:24:05,"9,250","3,000,000","3,083","64,8","67,8",A,27,A27,aflopend,Lekbrug,Hagestein,Utrecht,Gorinchem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 3],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788338,10/6/2020,10/6/2020,16:13:00,16:57:05,"317,300","7,197,732","44,083","54,0","49,0",A,1,A1,oplopend,Hoevelaken,Barneveld,Amsterdam,Apeldoorn,Ongeval met vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Ongeval(len) 6], [Ongeval met vrachtwagen(s) 26], [Eerder(e) ongeval(len) 12]","[000], [ACI], [ACH], [ACA]",ACH,Ongeval met vrachtwagen(s),Ongeval vrachtwagen,Ongeval,Ongeval
2788248,10/6/2020,10/6/2020,7:42:00,8:04:27,"44,900","2,000,000","22,450","88,5","86,5",A,15,A15,oplopend,Gorinchem,Gorinchem,Ridderkerk,Gorinchem,Defect(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 3], [Defect(e) voertuig(en) 4], [Eerder pechgeval 15], [Geen oorzaakcode opgegeven door VWM 0]","[000], [BKD], [M13], [000]",BKD,Defect(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2788277,10/6/2020,10/6/2020,10:00:00,10:25:57,"51,900","2,000,000","25,950","11,5","9,5",A,5,A5,oplopend,Raasdorp,Ijmuiden,Hoofddorp,Amsterdam,Defecte vrachtwagen(s),"[Geen oorzaakcode opgegeven door VWM 1], [Defecte vrachtwagen(s) 25]","[000], [HBD]",HBD,Defecte vrachtwagen(s),Defecte vrachtwagen,Incident (gestrand voertuig),Incident
2788363,10/6/2020,10/6/2020,17:32:00,17:37:04,"10,133","2,000,000","5,067","141,4","143,4",A,12,A12,aflopend,Zevenaar,Duiven,Oberhausen,Arnhem,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 5],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788243,10/6/2020,10/6/2020,7:36:00,7:56:06,"40,200","2,000,000","20,100","86,4","88,4",A,15,A15,aflopend,Hardinxveld-Giessendam,Sliedrecht-Oost,Gorinchem,Ridderkerk,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 20],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788340,10/6/2020,10/6/2020,16:18:00,16:22:05,"8,167","2,000,000","4,083","30,3","28,3",A,28,A28,oplopend,Hoevelaken,Amersfoort-Vathorst,Amersfoort,Zwolle,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 4],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788359,10/6/2020,10/6/2020,17:01:00,17:11:05,"20,167","2,000,000","10,083","30,4","28,4",A,28,A28,oplopend,Hoevelaken,Amersfoort-Vathorst,Amersfoort,Zwolle,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 10],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788264,10/6/2020,10/6/2020,8:46:00,8:56:26,"35,600","3,412,141","10,433","67,1","63,1",A,9,A9,oplopend,Akersloot,Heerhugowaard,Amstelveen,Alkmaar,Brandend(e) voertuig(en),"[Geen oorzaakcode opgegeven door VWM 1], [Brandend(e) voertuig(en) 4], [Defect(e) voertuig(en) 6]","[000], [VFR], [BKD]",VFR,Brandend(e) voertuig(en),Defect voertuig,Incident (gestrand voertuig),Incident
2788329,10/6/2020,10/6/2020,15:42:00,15:44:04,"4,133","2,000,000","2,067","53,4","51,4",A,1,A1,oplopend,Hoevelaken,Barneveld,Amsterdam,Apeldoorn,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 2],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2788356,10/6/2020,10/6/2020,16:55:00,16:58:03,"6,100","2,000,000","3,050","25,9","23,9",N,325,N325,oplopend,Westervoort,Presikhaaf,Arnhem,Arnhem Velperbroek,Spitsfile (geen oorzaak gemeld),[Geen oorzaakcode opgegeven door VWM 3],[000],1,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
